Title,Year,Publisher,Topics
"Dhar, B.R., Lee, H.S. (2014). Evaluation of limiting factors for current density in microbial electrochemical cells (MXCs) treating domestic wastewater, Biotechnology Reports 4, 80–85.",Unknown,Unknown,Unknown
"Qiaosi, D.; Dhar, B.R.; Elbeshbishy, E., Lee, H.S. (2014). Ammonium nitrogen removal from the permeates of anaerobic membrane bioreactors: economic regeneration of exhausted zeolite, Environmental Technology 35(16), 2008-2017.",Unknown,Unknown,Unknown
"Dhar, B.R.; Gao, Y.; Yeo, H.; Lee, H.S. (2013). Separation of microorganisms using anaerobic membrane bioreactors as pretreatment to microbial electrochemical cells, Bioresource Technology 148, 208-214.",Unknown,Unknown,Unknown
"Dhar, B.R., Lee, H.S. (2013). Membranes for bio-electrochemical Systems: challenges and research advances, Environmental Technology 34, 13-14, 1751-1764 (invited).",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Nakhla, G. (2012). Influence of iron on sulfide inhibition in dark biohydrogen fermentation, Bioresource Technology 126, 123-130.",Unknown,Unknown,Unknown
"Dhar, B.R., Nakhla, G., Ray, M. B. (2012). Techno-economic evaluation of ultrasound and thermal pretreatment for enhanced anaerobic digestion of municipal waste activated sludge, Waste Management 32(3), 542–549.",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Hafez, H., Nakhla, G., Ray, M. B. (2011). Thermo-oxidative pretreatment of municipal waste activated sludge for volatile sulfur compounds removal and enhanced anaerobic digestion, Chemical Engineering Journal 174 (1), 166-174.",Unknown,Unknown,Unknown
"Dhar, B.R., Youssef, E., Nakhla, G., Ray, M. B. (2011). Pretreatment of waste activated sludge for volatile sulfur compounds control in anaerobic digestion, Bioresource Technology 102 (4), 3776-3782.",Unknown,Unknown,Unknown
"Elbeshbishy, E., Hafez, H., Dhar, B.R., Nakhla, G. (2011). Single and combined effect of various pretreatment methods for biohydrogen production from food waste, International Journal of Hydrogen Energy 36 (17), 11379-11387.",Unknown,Unknown,Unknown
"Dhar, B.R., Kirtania, K. (2009). Excess methanol recovery in biodiesel production process using a distillation column: a simulation study, Chemical Engineering Research Bulletin 13(2), 45-50.",Unknown,Unknown,Unknown
"Chung, T.; Dhar, B.R. (2023). Bioelectrochemical sensors for detecting recalcitrant and toxic organic pollutants, in Emerging Trends and Advances in Microbial Electrochemical Technologies, Edited by A. K. Yadav, M.T. Noori, P. Srivastava, Y. Zhang, Elsevier, in press.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Chung, T.; Ju, Z.; Dhar, B.R. (2023). Microbial electrochemical technologies for decentralized wastewater treatment and resource recovery, in Decentralized Sanitation and Water Treatment: Towards Circular Economy and Sustainable Development, Edited by R. D. Tyagi, A. Pandey, P. A. Drogui, B. Yadav, J.W.C. Wong, and S. Pilli, CRC Press Taylor and Francis Group.",Unknown,Unknown,Unknown
"Chung, T.; Dhar, B.R. (2023). Methanogens-electrode/conductive materials interaction for methane production from carbon dioxide, in Material-Microbes Interactions: Environmental Biotechnological Perspective, Edited by N. Aryal, Y. Zhang, D. Pant, and S. Patil, Elsevier (pp. 237-270).",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Haffiez, N.; Zakaria, B.S.; Elbeshbishy, E.; Dhar, B.R. (2022). Nano-and microplastics as carriers for antibiotics and antibiotic resistance genes, in Microplastics and Nanoplastics: Occurrence, Environmental Impacts and Treatment Processes, Edited by R. D. Tyagi, A. Pandey, P. A. Drogui, B. Yadav, and S. Pilli, Elsevier (pp. 361-385).",Unknown,Unknown,Unknown
"Kakar, F.L.; Okoye, F.; Onyedibe, V.; Hamza, R.; Dhar, B.R.; Elbeshbishy, E. (2022). Climate change interaction with microplastics and nanoplastics pollution, in Microplastics and Nanoplastics: Occurrence, Environmental Impacts and Treatment Processes, Edited by R. D. Tyagi, A. Pandey, P. A. Drogui, B. Yadav, and S. Pilli, Elsevier (pp. 387-403).",Unknown,Unknown,Unknown
"Okoye, F.; Kakar, F.L.; Onyedibe, V.; Hamza, R.; Dhar, B.R.; Elbeshbishy, E. (2022). Social aspects of microplastics and nanoplastics, in Microplastics and Nanoplastics: Occurrence, Environmental Impacts and Treatment Processes, Edited by R. D. Tyagi, A. Pandey, P. A. Drogui, B. Yadav, and S. Pilli, Elsevier (pp. 447-461).",Unknown,Unknown,Unknown
"Chung, T.; Dhar, B.R. (2021). An overview of electro-fermentation as a platform for future biorefineries, in Sustainable Solutions for Environmental Pollution: Waste Management and Value-Added Products, Edited by N.S. El-Gendy, Wiley-Scrivener and John Wiley & Sons, pp. 1-40.",Unknown,Unknown,Unknown
"Zakaria, B.S., Lin, L., Chung, T., Dhar, B.R. (2020). An overview of complementary microbial electrochemical technologies for advancing anaerobic digestion, in Advances in Bioenergy Volume-5, Edited by Y. Li, S. Khanal, Elsevier, in press.",Unknown,Unknown,Unknown
"Lee, H.S., Dhar, B.R., A., Hussain, A.(2019). Electron Transfer Kinetics in Biofilm Anodes: Conductive Extracellular Electron Transfer, in Microbial Electro-chemical Technology: Sustainable Platform for Fuels, Chemicals and Remediation Biomass, Biofuels and Biochemicals, Edited by S.V. Mohan, S. Varjani, and A. Pandey, Elsevier, pp. 339-351.",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Nakhla, G., Ray, M. B.; (2012). State of the art of biogas production from solid waste and wastewater, in Biogas: Production, Consumption and Applications, Edited by Raphaël Litonjua and Irene Cvetkovski, ISBN: 9781621000235, Nova Science Publishers, New York, USA.",Unknown,Unknown,Unknown
"Alam, M.; Samiullah; Mirsoleimani-Azizi, S.M.; Chakrabarty, A.A.; Dhar, B.R. (2024). Dark Fermentative Biohydrogen Production from Plastic-containing Primary Sludge, IWA World Water Congress & Exhibition. August 11-15, Toronto, Canada.",Unknown,Unknown,Unknown
"Chung, T.H.; Rahman, A.; Zakaria, B.S.; Chakrabarty, A.A.; Khondoker, M.A.H.; Dhar, B.R. (2024). Evaluation of 3D printed cathodes for microbial electrolysis cell-assisted anaerobic digester, IWA World Water Congress & Exhibition. August 11-15, Toronto, Canada.",Unknown,Unknown,Unknown
"Tatla, H.K.; Niknejad, P.; Khan, M.A.; Dhar, B.R.; Gupta, R. (2024). Energy recovery from sewage sludge: Impact of different integrated hydrothermal liquefaction and anaerobic digestion process schemes, 59th Central Canadian Symposium on Water Quality Research, April 8-9, London, ON, Canada.",Unknown,Unknown,Unknown
"Dhar, B.R. (2024). Harnessing Conductive Additives in Anaerobic Bioreactors: Beyond Biogas, 1st International Symposium for Sustainable Waste Management & Resource Recovery, Sharjah, United Arab Emirates, May 21-22, 2024. (Invited Talk)",Unknown,Unknown,Unknown
"Dhar, B.R. (2023). The growing magic of conductive materials in anaerobic digestion: how to move forward? New Horizons in Biotechnology (NHBT-2023), November 26-29, 2023; Trivandrum, Kerala, India. (Invited talk, virtually presented).",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Niknejad, P.; Maal-Bared, R.; Molla, S.; Dhar, B.R. (2023). Microaeration and iron dosing for anaerobic digestion: a systematic comparison of desulfurization performance, antibiotic resistance genes removal and operating costs, WEF/IWA Innovations in Process Engineering Conference, June 06- 09, Portland, OR, USA.",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Dhar, B.R. (2023). The role of thermal hydrolysis for remediating the adverse impacts of polystyrene nanoplastics on anaerobic digestion: significance of solids content, 2nd Canadian IWA Young Water Professionals Conference, June 1-3, Vancouver, BC, Canada.",Unknown,Unknown,Unknown
"Chung, T.H.; Shahidi, M.; Mezbahuddin, S.; Dhar, B.R. (2023). Ensemble machine learning approach for examining critical process parameters and scale-up opportunities of bioelectrochemical systems for hydrogen peroxide production, 2nd Canadian IWA Young Water Professionals Conference, June 1-3, Vancouver, BC, Canada. (Tae Chung awarded the Best Oral Presentation Award, 1st Prize)",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Haffiez, N.; Dhar, B.R. (2023). Application of conductive additive for mitigating the adverse effects of polystyrene nanoplastics on sludge anaerobic digestion performance, 58th Central Canadian Symposium on Water Quality Research, March 20-21, Toronto, Canada.",Unknown,Unknown,Unknown
"Niknejad, P.; Mirsoleimani-Azizi, S.M.; Hillier, K.; Gupta, R.; Dhar, B.R. (2023). Resource recovery from biodegradable disposables with a combined process of anaerobic digestion followed by hydrothermal liquefaction, 58th Central Canadian Symposium on Water Quality Research, March 20-21, Toronto, Canada.",Unknown,Unknown,Unknown
"Dhar, B. R. (2022). Electro-catalyzing Anaerobic Digestion: Multifaceted characterization of fundamental phenomena toward practical applications, International Bioprocessing Association – 10th International Conference on Industrial Bioprocessing (IFIBiop 2022), October 27-30, National Kaohsiung University of Science and Technology at Kaohsiung, Taiwan (invited talk, virtually presented).",Unknown,Unknown,Unknown
"Mirsoleimani-Azizi, S.M.; Haffiez, N.; Zakaria, B.S.; Dhar, B.R. (2022). Thermal hydrolysis of sludge remediates adverse impacts of polystyrene nanoplastics on anaerobic digestion, International Conference on Persistent, Emerging, and Organic Pollution in the Environment – Challenges and Solutions under Climate Change (PEOPLE 2022), August 23-26, Charlottetown, Prince Edward Island, Canada (virtually presented).",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R.(2022). An intermittent energization strategy for improvement of direct interspecies electron transfer in a microbial electrolysis cell assisted anaerobic digester, 57th Central Canadian Symposium on Water Quality Research, April 4-5, Toronto, Canada (Basem S. Zakaria awarded Philip H. Jones Award).",Unknown,Unknown,Unknown
"Haffiez, N.; Mirsoleimani-Azizi, S.M.; Zakaria, B.S.; Dhar, B.R. (2022). Correlation between extracellular polymeric substances and antibiotics resistance genes in anaerobic digestion of thermally hydrolyzed sewage sludge, 57th Central Canadian Symposium on Water Quality Research, April 4-5, Toronto, Canada.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2021). Elucidation of the dominant methanogenesis pathway in biocathode, 5th Asia-Pacific International Society of Microbial Electrochemistry and Technology Conference, Harbin, China.",Unknown,Unknown,Unknown
"Huang, Q.; Liu, Y.; Dhar, B.R.  (2021). Influence of the applied voltage and temperature on the performance of bioelectrochemical anaerobic digestion of blackwater, IWA Young Water Professionals Canadian National Conference, June 23-25, Canada (Virtual Conference).",Unknown,Unknown,Unknown
"Dastyar, W.; Mirsoleimani-Azizi, S.M.; Dhadwal, M.; Dhar, B.R. (2021). Effects of food to microorganism ratio and percolate recirculation time on high-solids anaerobic digestion of organic solid waste, 56th Central Canadian Symposium on Water Quality Research, March 24-25, Canada (Virtual Conference).",Unknown,Unknown,Unknown
"Dhar, B.R. (2020). Powering the future of anaerobic digestion with engineered DIET: prospects and challenges, 55th Central Canadian Symposium on Water Quality Research, February 20, Toronto, ON, Canada (invited talk).",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2020). Silver nanoparticles disrupt the syntrophic association between electroactive and fermentative bacteria in a biofilm anode, 55th Central Canadian Symposium on Water Quality Research, February 20, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Ting, H.N.J.; Zakaria, B.S.; Karidio, I.; Zaman, H.; Dhar, B.R. (2020). Incorporating activated carbon as an additive for enhanced high-solids anaerobic digestion, 55th Central Canadian Symposium on Water Quality Research, February 20, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2020). A cycling on-off power supply scheme for electrochemically enhanced anaerobic digestion, 55th Central Canadian Symposium on Water Quality Research, February 20, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Ting, H.N.J.; Lin, L.; Chowdhury, B.; Cruz, R.B.; Karidio, I.; Zaman, H.; Dhar, B.R. (2020). Microbial community succession during high-solids anaerobic digestion of OFMSW, 55th Central Canadian Symposium on Water Quality Research, February 20, Toronto, ON, Canada (Hok Nam Joey Ting received Best Poster Award, 2nd Prize).",Unknown,Unknown,Unknown
"Chowdhury, B.; Lin, L.; Islam, M.N., Dhar, B.R. (2019). Enhancing anaerobic co-digestion of food waste and FOG using conductive additives, 92nd Water Environment Federation Technical Exhibition and Conference (WEFTEC), September 21-25, Chicago, USA (accepted).",Unknown,Unknown,Unknown
"Allam, N.M.E.; Budwill, K., Haile, T., Lin, F.; Ulrich, A., Dhar, B.R. (2019). Application of lignin for mitigation of methane flux from oil sands tailing ponds, Canada’s Oil Sands Innovation Alliance (COSIA) Innovation Summit, June 7-8, Calgary, Alberta.",Unknown,Unknown,Unknown
"Chung, T.; Zakaria, B.S.; Dhar, B.R. (2019). Calibration of bio-electrochemical naphthenic acids sensor using electrical response from charging-discharging cycles, Canada’s Oil Sands Innovation Alliance (COSIA) Innovation Summit, June 7-8, Calgary, Alberta.",Unknown,Unknown,Unknown
"Allam, N.M.E.; Romaniuk, N., Tate, M., Dhar, B.R.; Ulrich, A. (2019). Feasibility of lime to mitigate chemical flux in oil sands end pit lakes, 11th Western Canadian Symposium on Water Quality Research, May 10, Edmonton, AB, Canada.",Unknown,Unknown,Unknown
"Chowdhury, B.; Lin, L.; Mohammad, I., Dhar, B.R. (2019). Enhanced Co-digestion of Food Waste and FOG with Conductive Additives, 11th Western Canadian Symposium on Water Quality Research, May 10, Edmonton, AB, Canada. (Bappi Chowdhury awarded best presentation award in “Bioenergy and Biofuels”)",Unknown,Unknown,Unknown
"Chung, T.; Zakaria, B.S.; Dhar, B.R. (2019). Development of microbial electrochemical cell as a rapid biosensor for the detection of naphthenic acids,11th Western Canadian Symposium on Water Quality Research, May 10, Edmonton, AB, Canada. (Tae Chung awarded best presentation award in “Applied Electrochemistry for Water Industry”)",Unknown,Unknown,Unknown
"Ryue, J.; Lin, L.; Liu, Y.; Lu, W.; McCartney, D.; Dhar, B.R. (2019). Impact of on GAC addition on mesophilic and thermophilic anaerobic digestion of food waste, 11th Western Canadian Symposium on Water Quality Research, May 10, Edmonton, AB, Canada.",Unknown,Unknown,Unknown
"Huang, Q.; Zakaria, B.S.; Zhang, Y.; Zhang, L.; Dhar, B.R.; Liu, Y. (2019). Bio-electrochemical anaerobic digestion of blackwater at different organic loading rates, 11th Western Canadian Symposium on Water Quality Research, May 10, Edmonton, AB, Canada.",Unknown,Unknown,Unknown
"Lin, L.; Chowdhury, B.; Barua, S.; Zakaria, B.S.; Dhar, B.R. (2019). Temperature-dependent (20-55°C) differences in ethanol/propionate degradation by methanogenic communities grown on conductive carbon fibers, 11th Western Canadian Symposium on Water Quality Research, May 10, Edmonton, AB, Canada.",Unknown,Unknown,Unknown
"Lin, L.; Zakaria, B.S.; Hosseini Koupaie, H.; Bazyar Lakeh, A.A.; Hafez, H., Elbeshbishy, E.; Dhar, B.R. (2019). Assessment of Bio-H2 production potential of sludge liquors from acidogenic fermentation and thermal hydrolysis process, 11th Western Canadian Symposium on Water Quality Research, May 10, Edmonton, AB, Canada.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2019). Impact of anode potential changes on anodic microbiome in a microbial electrolysis cell operated with sewage sludge, 54th Central Canadian Symposium on Water Quality Research, February 27, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; Lin, L.; Dhar, B.R. (2019). Magnetite doped GAC for improving syntrophic propionate degradation in Anaerobic Digestion, 54th Central Canadian Symposium on Water Quality Research, February 27, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Chung, T.; Omania, R.D.; Dhar, B.R. (2019). A comparative study on evaluation of carbonaceous and metallic cathode electrodes for electro-methanogenesis, 54th Central Canadian Symposium on Water Quality Research, February 27, Toronto, ON, Canada. (Basem S. Zakaria awarded Best Poster Award, 1st prize)",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; Dhar, B.R. (2018). Carbon fibers stimulate syntrophic propionate and butyrate degradation by methanogenic communities, presented in IWA Specialized International Conferences on Ecotechnologies for Wastewater Treatment (ecoSTP), London, ON, Canada.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; Dhar, B.R. (2018). Development of a self-powered biosensor for real-time monitoring of naphthenic acids, poster presented in Canada’s Oil Sands Innovation Alliance (COSIA) Innovation Summit, Calgary, Alberta.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Dhar, B.R. (2018). Methanogenesis control in a microbial electrolysis cell using ultrasound irradiation, poster presented in 53rd Central Canadian Symposium on Water Quality Research, February 22, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Sharaf, S.; Barua, S.; Liu, Y.; Dhar, B.R. (2018). Effect of antimicrobial silver nanoparticles on electrochemically active biofilm, 53rd Central Canadian Symposium on Water Quality Research, February 22, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; Dhar, B.R. (2018). Promoting propionate and butyrate degradation in anaerobic digester using carbon fibers, 53rd Central Canadian Symposium on Water Quality Research, February 22, Toronto, ON, Canada (invited talk).",Unknown,Unknown,Unknown
"Barua, S.; Chung, T.; Zakaria, B.S.; Haile, T.; Dhar, B.R. (2018). Sustainable nitrogen recovery from digestate centrate using a microbial electrolysis cell, 53rd Central Canadian Symposium on Water Quality Research, February 22, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; Dhar, B.R. (2018). Development of bioelectrochemical sensing device for naphthenic acids, poster presented in 53rd Central Canadian Symposium on Water Quality Research, February 22, Toronto, ON, Canada.",Unknown,Unknown,Unknown
"Dhar, B.R., Chae, J., Ryu, H., Lee, H.S. (2017). Significance of proton accumulation on conductivity of biofilm anode,  presented in 52nd Central Canadian Symposium on Water Quality Research, February 23, Toronto, ON, Canada (invited talk).",Unknown,Unknown,Unknown
"Elbeshbishy, E., Dhar, B.R., Nakhla, G. (2016). Long-term biochemical methane potential (BMP) test for estimation of non-biodegradable fraction in biosolids, WEF Residuals and Biosolids Conference, April 3-6, Milwaukee, Wisconsin, USA.",Unknown,Unknown,Unknown
"Dhar, B.R., Ryu, H., Chae, J., Lee, H.S. (2016). Kinetics to change of anode potential in biofilm anodes: Can extracellular electron transfer be rate-limiting? 51st Central Canadian Symposium on Water Quality Research, February 23-24, Toronto, ON, Canada (Philip H. Jones Award).",Unknown,Unknown,Unknown
"Dhar, B.R., An, J., Ren, H., Chae, J., Ryu, H., Lee, H.S. (2015). Characterization of electron transfer kinetics from donor substrate to the anode: Implication of biofilm conductivity, poster presented in ISMET 5th international meeting on microbial electrochemistry and technologies, October 1-4, Tempe, Arizona, USA.",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Hafez, H., Nakhla, G., Ray, M. B. (2014). Comparison between different pretreatment techniques for enhancement of the anaerobic digestibility of different waste streams, 87th Water Environment Federation Technical Exhibition and Conference (WEFTEC), September 27-October 1, New Orleans, Louisiana, USA.",Unknown,Unknown,Unknown
"Dhar, B.R., Lee, H.S. (2014). Microbial Electrochemical Cells (MECs) Operation with Municipal Wastewater: A Systematic Evaluation of the Factors Limiting Current, 49th Central Canadian Symposium on Water Quality Research and Wastewater Management Conference, March 5-7, Niagara, ON, Canada.",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Hafez, H., Nakhla, G., Ray, M. B. (2013). Assessing optimum SRT for anaerobic digester with sludge pretreatment for sulfide control, 86th Water Environment Federation Technical Exhibition and Conference (WEFTEC), October 5-9, Chicago, USA.",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Hafez, H., Nakhla, G., Ray, M. B. (2012). Simulating the impact of thermo-chemical pretreatment on continuous anaerobic digestion of municipal waste activated sludge, 1st Waterloo International Conference on Sustainable Wastewater Treatment, August 8-9, Waterloo, Canada.",Unknown,Unknown,Unknown
"Dhar, B.R., Nakhla, G., Ray, M. B. (2011). Ultrasound assisted thermal pretreatment prior to anaerobic digestion of sludge, 61st Canadian Chemical Engineering Conference, October 23-26, London, ON, Canada.",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Nakhla, G., Ray, M. B. (2011). Sono-thermal pretreatment for enhanced anaerobic digestion and volatile sulfur compounds control in biogas, Water Environment Federation Technical Exhibition and Conference (WEFTEC), October 15-19, California, LA, USA.",Unknown,Unknown,Unknown
"Dhar, B.R., Nakhla, G., Ray, M. B. (2011). Thermo-chemical pretreatment of sludge for volatile sulfur compounds control in anaerobic digestion, 46th Central Canadian Symposium on Water Quality Research, February 22-23, Burlington, ON, Canada.",Unknown,Unknown,Unknown
"Dhar, B.R., Nakhla, G., Ray, M. B. (2010). Combination of ultrasound & thermal pretreatment for sludge solubilization and enhanced anaerobic digestion, AIChE Annual Meeting, November 7-12, Salt Lake City, UT, USA.",Unknown,Unknown,Unknown
"Dhar, B.R., Aldin, S., Youssef, E., Nakhla, G., Ray, M. B. (2010). Pretreatment of waste activated sludge for odor precursors control, 60th Canadian Chemical Engineering Conference, October 24-27, Saskatoon, SK, Canada.",Unknown,Unknown,Unknown
